line_num,scene
5,83
7,301
13,994
19,59
22,410
24,59
25,647
27,491
30,0
31,956
37,0
43,788
46,83
50,424
56,1139
57,59
60,1134
62,59
65,933
66,945
67,83
68,428
75,59
79,83
80,897
82,532
84,0
85,1117
87,126
93,59
94,126
95,130
96,745
97,766
105,126
106,616
107,574
109,482
110,467
115,709
121,59
124,592
125,0
127,59
129,768
130,440
132,878
134,83
137,223
141,444
142,1129
150,489
154,533
156,59
158,59
164,562
165,83
169,947
173,672
179,130
180,456
183,913
184,491
191,555
192,875
197,482
199,484
200,639
201,583
202,83
209,186
211,134
213,960
215,0
217,59
219,0
220,841
223,444
224,0
225,815
226,0
227,1161
230,83
233,695
235,609
239,410
241,83
245,431
255,186
261,1148
264,743
266,83
271,83
272,727
277,730
279,952
283,690
292,598
294,1087
296,83
303,651
313,59
314,59
315,134
316,647
317,83
319,1040
327,301
333,819
335,301
336,223
337,440
339,59
342,688
345,0
350,674
361,429
362,554
367,59
370,1105
373,1091
374,957
375,1058
383,83
384,59
386,0
390,533
392,0
398,533
401,0
402,186
404,0
408,233
409,1083
410,59
411,559
412,863
413,59
418,134
423,511
428,947
429,876
431,83
433,302
434,955
435,0
436,59
447,59
449,59
452,431
453,746
454,126
464,707
466,126
474,134
478,126
479,1086
482,431
488,126
491,333
492,269
497,134
498,130
501,59
502,130
503,594
505,83
507,864
513,59
514,0
515,0
519,302
520,741
521,932
527,83
533,602
534,130
542,130
545,722
546,930
559,677
561,431
569,710
574,126
577,534
579,59
580,898
581,126
588,134
590,130
592,59
597,875
598,0
600,59
604,134
605,83
608,59
611,59
614,333
617,430
619,0
620,302
621,747
627,712
628,0
631,842
633,0
636,126
640,511
652,509
653,233
654,130
658,1053
660,83
662,1054
664,59
666,134
669,126
671,83
675,529
676,0
683,1112
687,706
688,460
689,616
690,533
692,662
695,1110
704,333
707,59
709,0
714,1058
721,558
728,333
738,457
742,707
746,1104
750,602
756,872
761,59
762,59
766,0
772,126
774,710
776,59
778,0
782,1161
785,301
786,534
788,839
791,301
794,0
796,59
802,624
804,59
805,676
813,459
815,126
820,731
823,0
824,83
825,59
829,768
831,637
835,0
836,1120
837,407
841,83
844,1154
846,383
850,492
855,83
856,0
857,83
858,1052
861,429
862,130
865,0
868,554
869,1114
870,0
871,440
876,186
877,1110
880,0
884,134
885,126
891,0
892,1005
895,59
898,999
900,1008
904,83
909,610
910,0
911,1022
912,975
914,130
915,816
916,456
920,83
925,130
927,1170
928,0
929,134
930,414
934,547
944,477
946,59
948,478
953,383
955,489
959,584
963,59
965,0
966,130
975,768
979,899
989,456
991,0
993,269
995,59
1002,83
1009,130
1010,333
1013,636
1014,233
1019,301
1020,1058
1023,83
1029,0
1030,233
1031,1046
1033,223
1034,1030
1038,1104
1040,741
1041,1006
1042,83
1044,616
1053,535
1055,134
1056,677
1057,126
1064,639
1065,83
1067,59
1071,743
1072,0
1076,459
1090,453
1092,562
1105,59
1109,753
1110,134
1117,493
1118,333
1125,83
1126,477
1131,126
1134,634
1137,787
1138,59
1156,707
1159,460
1160,301
1162,440
1164,1056
1165,83
1169,126
1172,896
1175,269
1178,269
1180,333
1181,1119
1188,59
1190,59
1192,825
1193,130
1195,301
1204,874
1210,59
1211,83
1213,1162
1218,1026
1219,380
1220,0
1221,547
1226,1002
1230,59
1238,585
1243,1038
1244,0
1251,59
1254,1149
1256,484
1258,547
1261,126
1262,791
1263,782
1270,59
1272,969
1280,134
1281,83
1283,407
1288,976
1291,83
1295,0
1302,562
1313,83
1314,83
1320,440
1323,59
1326,460
1344,944
1351,696
1356,541
1357,453
1360,571
1363,444
1364,134
1367,59
1368,59
1369,484
1370,130
1373,0
1376,756
1378,59
1381,0
1383,944
1387,269
1395,59
1403,0
1404,456
1410,869
1413,59
1417,511
1429,0
1430,83
1433,457
1440,938
1441,186
1446,186
1448,0
1449,0
1453,444
