line_num,object
13,131
18,93
18,105
41,123
45,93
54,105
89,105
111,93
117,123
124,123
144,105
211,93
226,131
232,105
240,93
244,123
268,93
275,105
319,123
352,105
359,93
370,131
384,93
398,123
403,105
415,123
416,131
420,93
442,105
465,93
491,131
518,123
521,131
544,105
571,93
591,123
644,93
646,93
667,93
674,93
681,123
683,131
696,123
703,123
705,105
716,131
717,93
774,131
800,93
827,93
866,93
887,123
900,123
939,93
948,123
954,105
972,123
981,93
993,131
1005,93
1029,131
1052,93
1072,131
1079,93
1102,93
1106,93
1115,105
1143,93
1147,93
1158,105
1162,123
1169,93
1179,105
1192,123
1203,93
1234,105
1286,105
1294,105
1296,105
1306,93
1373,123
1379,93
1405,93
1422,123
1487,93
1528,105
1541,131
1549,93
1563,105
1569,93
1571,131
1596,105
1636,93
1658,105
1667,93
1669,105
1670,123
1676,123
1686,93
1690,93
1693,123
1737,105
1739,105
1749,105
1757,105
1779,105
1787,131
1806,105
1843,123
1857,131
1867,105
1880,93
1883,105
1926,93
1935,105
2005,93
2050,105
2052,93
2067,131
2071,123
2091,105
2126,105
2139,93
2145,123
2152,93
2158,93
2173,105
2176,131
2207,93
2210,123
2214,131
2217,123
2222,93
2231,123
2233,93
2236,131
2240,105
2247,123
2250,131
2279,123
2293,105
2297,105
2328,93
2330,105
2333,105
2338,93
2340,123
2354,93
2356,123
2415,123
2421,123
2445,93
2447,93
2455,93
2460,123
2510,93
2548,93
2550,123
2558,131
2559,93
2566,105
2591,105
2605,93
2607,131
2619,93
2620,93
2646,123
2650,93
2654,105
2672,131
2709,123
2711,93
2712,131
2768,123
2780,131
2783,93
2784,105
2786,123
2788,93
2804,131
2828,93
2842,93
2850,93
2881,131
2884,131
2890,123
2900,105
2970,93
3023,93
3053,105
3096,105
3099,105
3117,105
3161,131
3170,131
3199,93
3212,131
3212,123
3221,93
3240,123
3241,93
3254,131
3263,131
3310,123
3313,123
3336,131
3340,123
3393,105
3402,105
3413,105
3436,105
